time,accurate,cf_over_specified,cf_under_specified,cf_over_and_under_specified,errored,definder_version,audit_creation_version
1606486159.3691032,2915,798,1846,983,279,2.7.0,4
1606489724.0778418,2915,798,1846,983,279,2.7.0,4
1606493474.1932583,2915,798,1846,983,279,2.7.0,4
1606496866.481746,2915,798,1846,983,279,2.7.0,4
1606500461.4178116,2915,798,1846,983,279,2.7.0,4
1606504093.0552697,2915,798,1846,983,279,2.7.0,4
1606507694.1608562,2915,798,1846,983,279,2.7.0,4
1606511344.6136417,2915,798,1846,983,279,2.7.0,4
1606515010.0808952,2915,798,1846,983,279,2.7.0,4
1606518579.7477682,2915,798,1846,983,279,2.7.0,4
1606522485.8212717,2915,798,1846,983,279,2.7.0,4
1606526605.301918,2915,798,1846,983,279,2.7.0,4
1606529340.1986685,2915,798,1846,983,279,2.7.0,4
1606533275.1695757,2915,798,1846,983,279,2.7.0,4
1606536648.3189704,2915,798,1846,983,279,2.7.0,4
1606540060.1143217,2915,798,1846,983,279,2.7.0,4
1606543818.380085,2915,798,1846,983,279,2.7.0,4
1606547339.9216278,2915,798,1846,983,279,2.7.0,4
1606551010.3911557,2915,798,1846,983,279,2.7.0,4
1606554547.8663645,2915,798,1846,983,279,2.7.0,4
1606558140.100869,2915,798,1846,983,279,2.7.0,4
1606561721.2920654,2915,798,1846,983,279,2.7.0,4
1606565432.1316059,2915,798,1846,983,279,2.7.0,4
1606568889.1649492,2915,798,1846,983,279,2.7.0,4
1606572599.306028,2915,798,1846,983,279,2.7.0,4
1606576088.785965,2915,798,1846,983,279,2.7.0,4
1606579861.9903796,2915,798,1846,983,279,2.7.0,4
1606583326.0868096,2915,798,1846,983,279,2.7.0,4
1606586952.239077,2915,798,1846,983,279,2.7.0,4
1606590520.9150019,2915,798,1846,983,279,2.7.0,4
1606594153.507788,2915,798,1846,983,279,2.7.0,4
1606597717.8614378,2915,798,1846,983,279,2.7.0,4
1606601329.3261008,2915,798,1846,983,279,2.7.0,4
1606604902.1973588,2915,798,1846,983,279,2.7.0,4
1606608889.4950008,2915,798,1846,983,279,2.7.0,4
1606613304.7951186,2915,798,1846,983,279,2.7.0,4
1606615805.432013,2916,798,1846,983,279,2.7.0,4
1606619322.1211584,2916,798,1846,983,279,2.7.0,4
1606622975.4622169,2916,798,1846,983,279,2.7.0,4
1606626513.315356,2916,798,1846,984,278,2.7.0,4
1606630168.3323483,2917,798,1846,984,277,2.7.0,4
1606633695.6803772,2917,798,1846,984,277,2.7.0,4
1606637341.6858265,2917,798,1846,984,277,2.7.0,4
1606640899.5765524,2917,798,1846,984,277,2.7.0,4
1606644507.831633,2917,799,1846,983,277,2.7.0,4
1606648139.9314284,2917,799,1846,983,277,2.7.0,4
1606651782.2007313,2917,799,1846,983,277,2.7.0,4
